,path,height,width,frames,class,label,source,quality,name,original
0,manipulated_sequences/Face2Face/c23/videos/035_036.mp4,480,640,337,manipulated_sequences,True,Face2Face,c23,035_036,8090
1,manipulated_sequences/Face2Face/c23/videos/036_035.mp4,480,640,423,manipulated_sequences,True,Face2Face,c23,036_035,8091
2,manipulated_sequences/Face2Face/c23/videos/044_945.mp4,720,1280,761,manipulated_sequences,True,Face2Face,c23,044_945,8086
3,manipulated_sequences/Face2Face/c23/videos/046_904.mp4,720,1280,359,manipulated_sequences,True,Face2Face,c23,046_904,8121
4,manipulated_sequences/Face2Face/c23/videos/055_147.mp4,480,640,667,manipulated_sequences,True,Face2Face,c23,055_147,8102
5,manipulated_sequences/Face2Face/c23/videos/062_066.mp4,480,640,435,manipulated_sequences,True,Face2Face,c23,062_066,8111
6,manipulated_sequences/Face2Face/c23/videos/066_062.mp4,480,704,423,manipulated_sequences,True,Face2Face,c23,066_062,8112
7,manipulated_sequences/Face2Face/c23/videos/097_033.mp4,480,640,809,manipulated_sequences,True,Face2Face,c23,097_033,8082
8,manipulated_sequences/Face2Face/c23/videos/107_109.mp4,480,640,298,manipulated_sequences,True,Face2Face,c23,107_109,8113
9,manipulated_sequences/Face2Face/c23/videos/109_107.mp4,480,640,556,manipulated_sequences,True,Face2Face,c23,109_107,8114
10,manipulated_sequences/Face2Face/c23/videos/128_896.mp4,480,640,531,manipulated_sequences,True,Face2Face,c23,128_896,8137
11,manipulated_sequences/Face2Face/c23/videos/134_192.mp4,720,1280,287,manipulated_sequences,True,Face2Face,c23,134_192,8087
12,manipulated_sequences/Face2Face/c23/videos/147_055.mp4,480,576,394,manipulated_sequences,True,Face2Face,c23,147_055,8103
13,manipulated_sequences/Face2Face/c23/videos/150_153.mp4,480,832,732,manipulated_sequences,True,Face2Face,c23,150_153,8122
14,manipulated_sequences/Face2Face/c23/videos/153_150.mp4,480,640,456,manipulated_sequences,True,Face2Face,c23,153_150,8123
15,manipulated_sequences/Face2Face/c23/videos/159_175.mp4,480,576,504,manipulated_sequences,True,Face2Face,c23,159_175,8104
16,manipulated_sequences/Face2Face/c23/videos/168_222.mp4,480,640,407,manipulated_sequences,True,Face2Face,c23,168_222,8149
17,manipulated_sequences/Face2Face/c23/videos/175_159.mp4,480,640,325,manipulated_sequences,True,Face2Face,c23,175_159,8105
18,manipulated_sequences/Face2Face/c23/videos/192_134.mp4,720,1280,346,manipulated_sequences,True,Face2Face,c23,192_134,8088
19,manipulated_sequences/Face2Face/c23/videos/206_221.mp4,480,640,718,manipulated_sequences,True,Face2Face,c23,206_221,8118
20,manipulated_sequences/Face2Face/c23/videos/210_241.mp4,480,640,292,manipulated_sequences,True,Face2Face,c23,210_241,8083
21,manipulated_sequences/Face2Face/c23/videos/221_206.mp4,720,1280,714,manipulated_sequences,True,Face2Face,c23,221_206,8119
22,manipulated_sequences/Face2Face/c23/videos/222_168.mp4,480,640,1228,manipulated_sequences,True,Face2Face,c23,222_168,8150
23,manipulated_sequences/Face2Face/c23/videos/241_210.mp4,480,832,839,manipulated_sequences,True,Face2Face,c23,241_210,8084
24,manipulated_sequences/Face2Face/c23/videos/252_266.mp4,480,800,465,manipulated_sequences,True,Face2Face,c23,252_266,8079
25,manipulated_sequences/Face2Face/c23/videos/253_183.mp4,720,1280,390,manipulated_sequences,True,Face2Face,c23,253_183,8072
26,manipulated_sequences/Face2Face/c23/videos/254_261.mp4,720,1280,677,manipulated_sequences,True,Face2Face,c23,254_261,8126
27,manipulated_sequences/Face2Face/c23/videos/257_420.mp4,480,640,1126,manipulated_sequences,True,Face2Face,c23,257_420,8128
28,manipulated_sequences/Face2Face/c23/videos/261_254.mp4,480,576,427,manipulated_sequences,True,Face2Face,c23,261_254,8127
29,manipulated_sequences/Face2Face/c23/videos/263_284.mp4,720,1280,483,manipulated_sequences,True,Face2Face,c23,263_284,8094
30,manipulated_sequences/Face2Face/c23/videos/266_252.mp4,480,704,572,manipulated_sequences,True,Face2Face,c23,266_252,8080
31,manipulated_sequences/Face2Face/c23/videos/272_396.mp4,720,1280,525,manipulated_sequences,True,Face2Face,c23,272_396,8106
